nohup: ignoring input
---------------------------------Starting---------------------------------
Saving unlabeled images
{'dataset': 'rescuenet', 'ignore_label': 255, 'model': 'DeepLab', 'pretrained': 'coco', 'seed': 1, 'training': {'batch_size': 2, 'data': {'crop': True, 'input_size': '750,750', 'labeled_samples': 900, 'scale': True, 'split_id_list': 1000}, 'learning_rate': 0.00025, 'lr_schedule': 'Poly', 'lr_schedule_power': 0.9, 'momentum': 0.9, 'num_iterations': 40000, 'num_workers': 4, 'optimizer': 'SGD', 'unlabeled': {'blur': False, 'color_jitter': False, 'consistency_loss': 'CE', 'consistency_weight': 1, 'flip': False, 'pixel_weight': 'threshold_uniform', 'mix_mask': 'class', 'train_unlabeled': True}, 'use_sync_batchnorm': True, 'weight_decay': 0.0005}, 'utils': {'checkpoint_dir': '../../../data/jpk322/ClassMix/RescueNet/', 'log_per_iter': 200, 'save_best_model': True, 'save_checkpoint_every': 1000, 'tensorboard': True, 'val_per_iter': 5000}}
dataset size:  3595
Training with labeled samples: 900
/home/jpk322/.conda/envs/classMix/lib/python3.10/site-packages/torch/optim/sgd.py:27: UserWarning: optimizer contains a parameter group with duplicate parameters; in future, this will cause an error; see github.com/pytorch/pytorch/issues/40967 for more information
  super().__init__(params, defaults)
iter =     82/ 40000, loss_l = 1.731, loss_u = 0.007
iter =     83/ 40000, loss_l = 1.388, loss_u = 0.007
iter =     84/ 40000, loss_l = 1.162, loss_u = 0.006
iter =     85/ 40000, loss_l = 1.135, loss_u = 0.008
iter =     86/ 40000, loss_l = 1.262, loss_u = 0.002
iter =     87/ 40000, loss_l = 1.741, loss_u = 0.001
iter =     88/ 40000, loss_l = 1.154, loss_u = 0.007
iter =     89/ 40000, loss_l = 0.891, loss_u = 0.017
iter =     90/ 40000, loss_l = 2.101, loss_u = 0.003
iter =     91/ 40000, loss_l = 2.206, loss_u = 0.006
iter =     92/ 40000, loss_l = 0.986, loss_u = 0.005
iter =     93/ 40000, loss_l = 2.106, loss_u = 0.002
iter =     94/ 40000, loss_l = 1.584, loss_u = 0.004
iter =     95/ 40000, loss_l = 1.266, loss_u = 0.003
iter =     96/ 40000, loss_l = 1.140, loss_u = 0.020
iter =     97/ 40000, loss_l = 0.946, loss_u = 0.002
iter =     98/ 40000, loss_l = 1.138, loss_u = 0.004
iter =     99/ 40000, loss_l = 1.010, loss_u = 0.001
iter =    100/ 40000, loss_l = 2.597, loss_u = 0.002
iter =    101/ 40000, loss_l = 1.428, loss_u = 0.001
iter =    102/ 40000, loss_l = 1.680, loss_u = 0.031
iter =    103/ 40000, loss_l = 0.752, loss_u = 0.002
iter =    104/ 40000, loss_l = 1.840, loss_u = 0.001
iter =    105/ 40000, loss_l = 1.314, loss_u = 0.001
iter =    106/ 40000, loss_l = 2.073, loss_u = 0.001
iter =    107/ 40000, loss_l = 0.963, loss_u = 0.001
iter =    108/ 40000, loss_l = 1.467, loss_u = 0.031
iter =    109/ 40000, loss_l = 2.195, loss_u = 0.001
iter =    110/ 40000, loss_l = 0.879, loss_u = 0.001
iter =    111/ 40000, loss_l = 1.303, loss_u = 0.001
iter =    112/ 40000, loss_l = 1.237, loss_u = 0.001
iter =    113/ 40000, loss_l = 1.533, loss_u = 0.001
iter =    114/ 40000, loss_l = 1.038, loss_u = 0.002
iter =    115/ 40000, loss_l = 1.598, loss_u = 0.007
iter =    116/ 40000, loss_l = 1.602, loss_u = 0.002
iter =    117/ 40000, loss_l = 1.750, loss_u = 0.011
iter =    118/ 40000, loss_l = 0.769, loss_u = 0.001
iter =    119/ 40000, loss_l = 1.578, loss_u = 0.004
iter =    120/ 40000, loss_l = 0.727, loss_u = 0.001
iter =    121/ 40000, loss_l = 1.719, loss_u = 0.001
iter =    122/ 40000, loss_l = 1.271, loss_u = 0.001
iter =    123/ 40000, loss_l = 2.063, loss_u = 0.001
iter =    124/ 40000, loss_l = 1.130, loss_u = 0.002
iter =    125/ 40000, loss_l = 1.066, loss_u = 0.006
iter =    126/ 40000, loss_l = 1.389, loss_u = 0.003
iter =    127/ 40000, loss_l = 1.316, loss_u = 0.003
iter =    128/ 40000, loss_l = 1.559, loss_u = 0.002
iter =    129/ 40000, loss_l = 0.791, loss_u = 0.002
iter =    130/ 40000, loss_l = 1.824, loss_u = 0.001
iter =    131/ 40000, loss_l = 1.430, loss_u = 0.000
iter =    132/ 40000, loss_l = 0.818, loss_u = 0.001
iter =    133/ 40000, loss_l = 1.519, loss_u = 0.001
iter =    134/ 40000, loss_l = 3.133, loss_u = 0.031
iter =    135/ 40000, loss_l = 1.543, loss_u = 0.001
iter =    136/ 40000, loss_l = 1.295, loss_u = 0.018
iter =    137/ 40000, loss_l = 0.833, loss_u = 0.001
iter =    138/ 40000, loss_l = 1.343, loss_u = 0.002
iter =    139/ 40000, loss_l = 1.057, loss_u = 0.001
iter =    140/ 40000, loss_l = 0.802, loss_u = 0.002
iter =    141/ 40000, loss_l = 1.550, loss_u = 0.007
iter =    142/ 40000, loss_l = 2.418, loss_u = 0.001
iter =    143/ 40000, loss_l = 0.831, loss_u = 0.000
iter =    144/ 40000, loss_l = 2.779, loss_u = 0.000
iter =    145/ 40000, loss_l = 0.676, loss_u = 0.010
iter =    146/ 40000, loss_l = 3.095, loss_u = 0.003
iter =    147/ 40000, loss_l = 2.354, loss_u = 0.000
iter =    148/ 40000, loss_l = 1.270, loss_u = 0.001
iter =    149/ 40000, loss_l = 2.796, loss_u = 0.000
iter =    150/ 40000, loss_l = 1.624, loss_u = 0.002
iter =    151/ 40000, loss_l = 1.932, loss_u = 0.000
iter =    152/ 40000, loss_l = 1.524, loss_u = 0.002
